agestrat,lo1,lo2,hi1,hi2,median,lo_SD,hi_SD,ES
5,5,10,90,95,8.785718785718785,5.5758506463904345,4.347421008879204,NA
5.3,5,10,85,95,11,6.959813962271934,3.7949584331576123,0.42833475136278054
5.6,10,15,90,95,12.312502070317935,9.633777023214776,5.033958468432918,0.2065102429937851
5.9,5,10,90,95,14.249998124995313,6.4431996723375535,3.774909498576034,0.3114213852812772
6,5,10,90,95,14.722223734571767,4.2674239661120765,3.7233635845283897,0.10373513932175253
6.3,5,10,90,95,15.12500281250703,5.011319332880941,3.913685559371106,0.09524332467309254
6.6,5,10,90,95,16.87500153124349,4.568527236619709,6.453754436357349,0.35092466597175204
6.9,5,10,90,95,16.8000072000288,4.633766302252997,3.5546236234955826,-0.015615139914143244
7,5,10,90,95,20.299998779996827,6.715090905029984,5.821611591604793,0.6755080283623711
7.3,5,10,90,95,20.277780413579954,3.7472900995868303,4.693287624532408,-0.004236653404646915
7.6,5,10,90,95,20.5,6.8908014512226305,5.411481533091843,0.04285225447803251
7.9,5,10,90,95,20.100001020002246,6.262056518267661,4.899067893987506,-0.0681911153375335
8,5,10,90,95,21.42857559184387,3.2000426928733683,5.390593106736315,0.26905441491610493
8.6,5,10,90,95,23.6999986999987,4.998768223280935,6.228379263960947,0.45846158983115826
9,5,10,90,95,25.4,5.123861748463613,8.809392382553519,0.2702661628052231
9.6,5,10,90,95,26.875007875007874,5.840734189414583,6.032898256675052,0.22862236722756815
10,5,10,90,95,27.5,5.620202945911203,13.643241550028737,0.08028911977263947
10.6,5,10,90,95,28.375004125004125,6.653386006663086,9.222052246776304,0.09960523005183827
11,5,10,90,95,31,4.880686109562744,8.851058304604198,0.35464311541778987
11.6,5,10,90,95,31.333328,5.767957310343945,13.196732676099476,0.04077851375669014
12,5,15,90,95,34,7.524804934888861,11.75912188462216,0.27887774488983436
12.6,5,15,90,95,33.5,6.8759881708529065,12.668647764523783,-0.05150847361066027
13,5,15,90,95,38.500009166743055,10.320768828677988,11.616097071914474,0.4821435044965013
14,5,10,90,95,37.833333333333336,10.452700475318123,12.315228751149144,-0.05965139368292794
15,5,10,90,95,42,7.914273980987874,10.043720969005179,0.4092397411155627
1618,5,10,90,95,47.19998847992627,11.341372041139651,8.403739624754063,0.5516774554312377
1921,5,10,90,95,51.31249785936912,9.923104997366664,7.811662806161152,0.43890315952569636
