agestrat,n,median,mean,sd,ES,group
5,63,11,10.11,5.26,NA,1
5.3,54,12,11.19,4.68,0.22,2
5.6,53,13,11.4,5.76,0.04,3
5.9,60,13,13.45,4.46,0.4,4
6,49,16,15.78,6.68,0.42,5
6.3,60,14,15.15,6.11,-0.1,6
6.6,49,17,17.61,7.55,0.36,7
6.9,60,17,18.58,5.69,0.15,8
7,61,21,20.97,6.29,0.4,9
7.3,61,22,22.26,5.5,0.22,10
7.6,64,19.5,20.53,6.62,-0.29,11
7.9,51,23,22.33,6.85,0.27,12
8,68,27,24.13,6.73,0.27,13
8.6,65,27,26.37,6.99,0.33,14
9,62,30,29.35,7.02,0.43,15
9.6,63,30,29.73,5.61,0.06,16
10,66,30.5,31.77,7.11,0.32,17
10.6,66,32,31.5,6.12,-0.04,18
11,60,35,35.08,5.47,0.62,19
11.6,48,36,36.65,6.22,0.27,20
12,60,37,37.18,6.64,0.08,21
12.6,40,38,37.77,6.01,0.09,22
13,55,38,39.24,6.41,0.24,23
14,53,39,38.38,6.47,-0.13,24
15,58,43,42.91,6.44,0.7,25
1618,144,47,45.54,7.06,0.39,26
1921,137,44,46.26,7.75,0.1,27
