group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,5,6.043973,10.0073,5.456885,NA
2,5.3,6.068412,10.985653,5.514082,0.16953395676676392
3,5.6,6.09285,12.020408,5.571279,0.1780482266176899
4,5.9,6.117289,13.108141,5.628476,0.1858586800948351
5,6,6.141728,14.245429,5.685673,0.19298010288478007
6,6.3,6.166167,15.42885,5.74287,0.1994268895779562
7,6.6,6.190605,16.654979,5.800067,0.20521237308788992
8,6.9,6.215044,17.920394,5.857264,0.21035050521589613
9,7,6.239483,19.221672,5.914461,0.21485420031129868
10,7.3,6.263922,20.55539,5.971658,0.21873620821792134
11,7.6,6.288361,21.918123,6.028855,0.22200860545577003
12,7.9,6.312799,23.30645,6.086052,0.22468412955831527
13,8,6.337238,24.716946,6.14325,0.2267738704794365
14,8.6,6.361677,26.146189,6.200447,0.228289764661929
15,9,6.386116,27.590755,6.257644,0.2292426641335018
16,9.6,6.410555,29.047222,6.314841,0.22964374534178433
17,10,6.434993,30.512166,6.372038,0.22950329007109257
18,10.6,6.459432,31.982164,6.429235,0.22883176787024823
19,11,6.483871,33.453792,6.486432,0.2276390745648414
20,11.6,6.50831,34.923628,6.543629,0.22593533639415095
21,12,6.532748,36.388248,6.600826,0.22372981579547385
22,12.6,6.557187,37.84423,6.658023,0.2210321356765467
23,13,6.581626,39.288149,6.71522,0.2178509278948406
24,14,6.606065,40.716583,6.772417,0.21419552929208635
25,15,6.630504,42.126109,6.829614,0.21007444501576084
26,1618,6.654942,43.513303,6.886811,0.20549598211175824
27,1921,6.679381,44.874743,6.944008,0.20046867415601974
